"","geneid","HH29_Beak","HH30_Beak","HH36_Beak","HH38_Beak"
"13139","GALGAL-R14726",0.734044928878735,0.371926122264353,1.68140851936481,0.805403894904633
"13140","GALGAL-R14727",0.214481717810101,0.144718571434294,0.176768366768679,0.0783822654006704
"13141","GALGAL-R14728",1.01816417521729,0.970500098914831,1.30311974382766,0.720669564913321
"13142","GALGAL-R14729",0.139738199294392,0.12156360919315,0.169308277492861,0.166645514708852
"13143","GALGAL-R14730",0.0489268062309462,0.0279931235852654,0.0241544075260631,0.0179752464695857
"13144","GALGAL-R14731",0.00857632421466994,0.00567931378825938,0.0133840778394827,0.0144152985191702
"13145","GALGAL-R14732",0.0703096197498439,0.0641569781722689,0.0727461910697222,0.0390314786057094
"13146","GALGAL-R14733",0,0,0,0
"13147","GALGAL-R14734",0,0,0,0
"13148","GALGAL-R14735",0.573432541885057,0.415849675119168,0.931883106477666,0.414918716549049
"13149","GALGAL-R14736",0,0.000308046222384196,0.00248546069690315,0.00113343128526322
"13150","GALGAL-R14737",0.00795500846508817,0.0124563306807117,0.0124273034845158,0.387007369954814
"13151","GALGAL-R14738",365.421023677729,177.443195635971,28.7280932080462,172.670619913218
"13152","GALGAL-R14739",0.246746250673717,0.135365954416324,0.636214978327302,0.1728793867778
"13153","GALGAL-R14740",0.142212971462025,0.10560841599379,0.0733806375437616,0.0344977534646565
"13154","GALGAL-R14741",0.114982681026195,0.0707048517133455,1.45158506535642,1.19961557486453
"13155","GALGAL-R14742",0.116455677188663,0.082136790615135,0.0744425242570521,0.0600877107418331
"13156","GALGAL-R14743",226.697597059841,32568.2887788901,12503.8680337654,1357.88586247426
"13157","GALGAL-R14744",5.36126876525797,2.05731602118305,742.446753895035,0.177609276007261
"13158","GALGAL-R14745",0.190433002348489,0.0598684587718125,4.13006570875259,0.0437856879238875
"13159","GALGAL-R14746",1.09980228566149,0.559924181839033,0.462724427775587,0.35752688010018
"13160","GALGAL-R14747",0.74445537217429,0.627741833649839,4.87058196401879,1.27237816116049
"13161","GALGAL-R14748",0.103221114980467,0.0632951735957127,0.174148172123428,0.136236430907616
"13162","GALGAL-R14749",2.79572296659283,0.76375940901192,1.72179524788148,0.954678207070143
"13163","GALGAL-R14750",0.106846152855254,11852.2225738878,0.0955974595096218,397.098532777481
"13164","GALGAL-R14751",120.557167807161,1.95665525480213,34730888.4470309,16.6309752910354
"13165","GALGAL-R14752",0.0454903850505151,0.0196281760140684,0.0341851783802804,0.011741374400638
"13166","GALGAL-R14753",0.247163005779012,0.14946393295125,0.198520656924689,0.135438749905093
"13167","GALGAL-R14754",0.494799321853364,0.696279846551092,1.41572586074293,0.557682494393862
"13168","GALGAL-R14755",2466149497053.4,3.74983774832018e+20,1577.94842415865,1099.41824298864
"13169","GALGAL-R14756",0.000723182587735288,0.000616092444768392,0.00165697379793543,0.000566715642631611
"13170","GALGAL-R14757",0.0361520657880639,0.0311123480458023,0.0260447811383213,0.0633511866558693
"13171","GALGAL-R14758",0,0,0,0
"13172","GALGAL-R14759",0.000723182587735288,0,0,0.00226686257052644
"13173","GALGAL-R14760",0,0,0,0
"13174","GALGAL-R14761",0.0136386023288169,0.00545804978439536,0.0249435350356362,0.00947451183011156
"13175","GALGAL-R14762",0.082464892487091,0.076815821922565,0.459666115793202,0.115153275495237
"13176","GALGAL-R14763",0.00108477388160293,0,0.00331394759587087,0.00340029385578967
"13177","GALGAL-R14764",0.0032543216448088,0.00123218488953678,0.000828486898967717,0.000566715642631611
"13178","GALGAL-R14765",0.166284338310974,0.115228277092904,0.492289674041317,0.0856846515489997
"13179","GALGAL-R14766",0.0553335826824103,0.0375902560459991,0.103706349920736,0.0448582891266513
"13180","GALGAL-R14767",2.59369040803482,6.61210811150866,5.73640646070912,1.61531678642357
"13181","GALGAL-R14768",0.0082147329208023,0.00585287822529973,0.00805146917535435,0.010200881567369
"13182","GALGAL-R14769",0.161756455760273,0.103996357602124,0.0870142994892861,0.12676250854811
"13183","GALGAL-R14770",0.922796403485121,0.539117514907098,1.18155809951315,0.59064291838695
"13184","GALGAL-R14771",22.5011491845346,9.38610373497256,93.8902314618725,29789.1134943415
"13185","GALGAL-R14772",0.0794340906153274,0.0468316427175249,0.0599572003148843,0.0434055496521365
"13186","GALGAL-R14773",0.00144636517547058,0.00246436977907357,0.0055660084784512,0.00453372514105289
"13187","GALGAL-R14774",19.5140953482034,19.8888236279702,24.4614331109023,60.6007344637652
"13188","GALGAL-R14775",0.152607742976727,0.0323388357416951,0.192231273905593,0.0737262906240125
"13189","GALGAL-R14776",1.09797752078631,0.596532949164821,30.191080392418,0.531603982857652
"13190","GALGAL-R14777",6.66538237391779,3.00274034042746,24.3225596958426,3.67195761257414
"13191","GALGAL-R14778",0.0111074632717434,0.00616092444768392,0.00887995607432207,0.0215960245025006
"13192","GALGAL-R14779",0.65925607636051,0.328114704862963,31.0544810395484,0.30201209692298
"13193","GALGAL-R14780",0.620558206091067,0.258332952616505,0.780018909459699,0.299865610200718
"13194","GALGAL-R14781",0.497852095171065,0.351225207673766,0.617240842752168,0.271981806258714
"13195","GALGAL-R14782",0.00470068682027937,0,0.000828486898967717,0.00113343128526322
"13196","GALGAL-R14783",0.10093594929174,0.0680000498435142,0.319471051798392,0.0746626633556291
"13197","GALGAL-R14784",0.0065086432896176,0.0174988998917844,0.00970844297328979,0.0144761286016696
"13198","GALGAL-R14785",0,0,0,0
"13199","GALGAL-R14786",49542251699972.4,52541645944045064,130657152011367552,829616106.353566
"13200","GALGAL-R14787",0,0,0,0
"13201","GALGAL-R14788",0.0629874464543615,0.0901310374583498,0.159128889517484,0.147908440423937
"13202","GALGAL-R14789",0,0,0,0
"13203","GALGAL-R14790",0.22943187405024,0.247575978945729,0.244632093022754,1.65108379435913
"13204","GALGAL-R14791",0.0735180653359062,0.0541650172706308,0.15114457937726,0.0229768632411438
"13205","GALGAL-R14792",0.0207685613680163,0.00823046578585312,0.0263671090192488,0.00736730335421094
"13206","GALGAL-R14793",0.0302087474686209,0.0259712818139198,0.0338628504993528,0.0236424028959018
"13207","GALGAL-R14794",0.64934944305049,0.637386106275464,0.694714873212362,0.511248821047966
"13208","GALGAL-R14795",3.14438267865101,6.70214401177901,1799.69191992636,94.9513076742743
"13209","GALGAL-R14796",0.0879085479918439,0.0645724587455915,0.136633723608151,0.0757960946408923
"13210","GALGAL-R14797",0.157533797613999,0.109607319691141,0.197424995561759,0.107988991605395
