"gene","average_expression","expression_prop"
"GALGAL-R03663",661102332115981312,0.529023746701847
"GALGAL-R09548",594012191164411520,0.0115435356200528
"GALGAL-R12623",516965784515888576,0.843007915567282
"GALGAL-R09526",511135272684171712,0.0260554089709763
"GALGAL-R00255",408524490767436160,0.283311345646438
"GALGAL-R09485",386218322902101952,0.96009234828496
"GALGAL-R12225",385435142221945024,0.0283641160949868
"GALGAL-R13020",360377622372996352,0.0224274406332454
"GALGAL-R07345",322716454721615424,0.343337730870712
"GALGAL-R02408",267698954565458272,0.812005277044855
"GALGAL-R12288",248083881515445024,0.854221635883905
"GALGAL-R14269",219116699378201408,0.994393139841689
"GALGAL-R11783",210280840085665024,0.601912928759894
"GALGAL-R01954",205816454355192224,0.272427440633245
"GALGAL-R15932",130119069078366320,0.345316622691293
"GALGAL-R03260",121441319863320480,0.452836411609499
"GALGAL-R15479",98517089515366848,0.0062664907651715
"GALGAL-R13357",93324140917464544,0.680079155672823
"GALGAL-R07748",90297069259967440,0.37664907651715
"GALGAL-R01488",86151621243747920,0.160290237467018
"GALGAL-R10794",85858976161259632,0.016820580474934
"GALGAL-R08180",81566079905993056,0.771437994722955
"GALGAL-R10806",79591721449907120,0.37434036939314
"GALGAL-R09608",71737100206723224,0.0336411609498681
"GALGAL-R14671",50289055365600536,0.448218997361478
"GALGAL-R06547",49494602423447712,0.402704485488127
"GALGAL-R01123",38613965014132816,0.890501319261214
"GALGAL-R01173",31626989485681764,0.825857519788918
"GALGAL-R16831",25189841608393340,0.536609498680739
"GALGAL-R15728",24602808596136864,0.452176781002639
"GALGAL-R15978",23993881995482064,0.961081794195251
"GALGAL-R07772",23880158254053944,0.300131926121372
"GALGAL-R15693",23783283051474248,0.0478232189973615
"GALGAL-R12372",23442476858973692,0.345316622691293
"GALGAL-R08968",23441620296582276,0.0738786279683377
"GALGAL-R02577",23130867277285140,0.537928759894459
"GALGAL-R08278",22700733511975372,0.330145118733509
"GALGAL-R10535",22050638279610792,0.0399076517150396
"GALGAL-R10291",21427686066633980,0.104221635883905
"GALGAL-R08612",20620661202710836,0.118733509234828
"GALGAL-R11162",19760645437868052,0.548153034300792
"GALGAL-R08405",18467556097094792,0.0521108179419525
"GALGAL-R04937",15755870452796984,0.0359498680738786
"GALGAL-R03635",15692271068418762,0.773416886543536
"GALGAL-R01664",15097919819168942,0.0412269129287599
"GALGAL-R01531",14381830544372214,0.754287598944591
"GALGAL-R00903",13186811273383600,0.173482849604222
